assembly_id_simp,Contig_number,assembly_id,assembly_name,organism_name,organism_name_breed,strain,cultivar,ecotype,isolate,annotation_name,seq_length,assembly_level,release_date,wgs_project,contig_n50,scaffold_n50,sequencing_tech,submitter,bioproject,biosample,genes,protein_coding_genes,pseudogenes,checkM_marker_set,checkM_completeness,checkM_contamination,genome_id,phylogroup,assembly_ID
GCA_000780155,76,GCA_000780155.1,ASM78015v1,Escherichia coli,NA,upec-161,NA,NA,NA,NA,5196659,Scaffold,2014-11-13T00:00:00Z,NA,83763,222732,Illumina HiSeq,University of Washington,PRJNA248737,SAMN02801977,NA,NA,NA,Escherichia coli,99.04,0.38,GCA_000780155.1_ASM78015v1_genomic,B2,NA
GCA_002237325,1,GCA_002237325.1,ASM223732v1,Escherichia coli,NA,WAT,NA,NA,NA,Annotation submitted by Nankai University,4847481,Complete Genome,2017-07-31T00:00:00Z,NA,4847481,4847481,Illumina GAIIx; PacBio,Nankai University,PRJNA292047,SAMN03963241,4778,4669,NA,Escherichia coli,99.55,0.23,GCA_002237325.1_ASM223732v1_genomic,B1,NA
GCA_002206925,110,GCA_002206925.1,ASM220692v1,Escherichia coli,NA,E1526,NA,NA,NA,NA,4920858,Scaffold,2017-06-12T00:00:00Z,NA,163679,163679,Illumina HiSeq 2000,SC,PRJEB2796,SAMEA1317733,NA,NA,NA,Escherichia coli,98.93,0.49,GCA_002206925.1_ASM220692v1_genomic,C,NA
GCA_001990965,291,GCA_001990965.1,ASM199096v1,Escherichia coli,NA,TS21/08,NA,NA,NA,NA,5248480,Scaffold,2017-02-09T00:00:00Z,NA,176957,176957,Illumina MiSeq,Robert Koch Institute,PRJNA354507,SAMN06047103,NA,NA,NA,Escherichia coli,99.29,0.89,GCA_001990965.1_ASM199096v1_genomic,B1,NA
GCA_001606445,170,GCA_001606445.1,ASM160644v1,Escherichia coli,NA,STEC 1442,NA,NA,NA,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),5369955,Scaffold,2016-04-04T00:00:00Z,NA,210426,210426,Illumina MiSeq,"University of Groningen, University Medical Center Groningen",PRJNA285020,SAMN04002650,5476,5113,259,Escherichia coli,99.19,0.31,GCA_001606445.1_ASM160644v1_genomic,D,NA
GCA_001607455,214,GCA_001607455.1,ASM160745v1,Escherichia coli,NA,STEC 2450,NA,NA,NA,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),5606256,Scaffold,2016-04-04T00:00:00Z,NA,120221,120221,Illumina MiSeq,"University of Groningen, University Medical Center Groningen",PRJNA285020,SAMN04002677,5805,5438,279,Escherichia coli,99.25,0.96,GCA_001607455.1_ASM160745v1_genomic,B1,NA
GCA_001575395,94,GCA_001575395.1,ASM157539v1,Escherichia coli,NA,G194,NA,NA,NA,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),4838409,Scaffold,2016-02-26T00:00:00Z,NA,150028,162926,Illumina MiSeq,KOlimastIR,PRJNA305846,SAMN04334719,4867,4641,131,Escherichia coli,99.49,0.47,GCA_001575395.1_ASM157539v1_genomic,A,NA
GCA_001420935,3,GCA_001420935.1,ASM142093v1,Escherichia coli,NA,2012C-4227,NA,NA,NA,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),5375210,Complete Genome,2015-10-30T00:00:00Z,NA,5202850,5202850,Pacific Biosciences,CDC,PRJNA218110,SAMN03952643,5592,5146,314,Escherichia coli,97.02,0.23,GCA_001420935.1_ASM142093v1_genomic,A,NA
GCA_001575635,99,GCA_001575635.1,ASM157563v1,Escherichia coli,NA,G240,NA,NA,NA,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),4569597,Scaffold,2016-02-26T00:00:00Z,NA,124575,134782,Illumina MiSeq,KOlimastIR,PRJNA305846,SAMN04334739,4481,4264,123,Escherichia coli,98.25,0.59,GCA_001575635.1_ASM157563v1_genomic,A,NA
GCA_001606915,132,GCA_001606915.1,ASM160691v1,Escherichia coli,NA,STEC 2499,NA,NA,NA,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),5135295,Scaffold,2016-04-04T00:00:00Z,NA,165147,165147,Illumina MiSeq,"University of Groningen, University Medical Center Groningen",PRJNA285020,SAMN04002678,5231,4962,181,Escherichia coli,99.01,0.72,GCA_001606915.1_ASM160691v1_genomic,B1,NA
GCA_002152225,11,GCA_002152225.1,ASM215222v1,Escherichia coli,NA,MGH188,NA,NA,NA,Annotation submitted by Broad Institute,4816301,Scaffold,2017-05-19T00:00:00Z,NA,149824,2570679,Illumina,Broad Institute,PRJNA271899,SAMN04521937,4436,4360,2,Escherichia coli,98.96,0.52,GCA_002152225.1_ASM215222v1_genomic,B2,NA
GCA_000781315,70,GCA_000781315.1,ASM78131v1,Escherichia coli,NA,upec-110,NA,NA,NA,NA,5150493,Scaffold,2014-11-13T00:00:00Z,NA,79463,277488,Illumina HiSeq,University of Washington,PRJNA248737,SAMN02801921,NA,NA,NA,Escherichia coli,98.48,0.52,GCA_000781315.1_ASM78131v1_genomic,B2,NA
GCA_000782755,118,GCA_000782755.1,ASM78275v1,Escherichia coli,NA,blood-08-0379,NA,NA,NA,NA,5284295,Scaffold,2014-11-13T00:00:00Z,NA,46222,203694,Illumina HiSeq,University of Washington,PRJNA248737,SAMN02801815,NA,NA,NA,Escherichia coli,98.79,0.79,GCA_000782755.1_ASM78275v1_genomic,B2,NA
GCA_001890205,2,GCA_001890205.1,ASM189020v1,Escherichia coli,NA,155,NA,NA,NA,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),5604428,Complete Genome,2016-12-07T00:00:00Z,NA,5513008,5513008,PacBio,United State Department of Agriculture,PRJNA336330,SAMN05544764,6090,5613,342,Escherichia coli,98.47,0.15,GCA_001890205.1_ASM189020v1_genomic,E,NA
GCA_000812645,125,GCA_000812645.1,ASM81264v1,Escherichia coli,NA,ST167,NA,NA,NA,NA,4979922,Scaffold,2014-12-31T00:00:00Z,NA,137217,137217,Illumina MiSeq,Centers for Disease Control and prevention,PRJNA268516,SAMN03220397,NA,NA,NA,Escherichia coli,98.54,0.8,GCA_000812645.1_ASM81264v1_genomic,A,NA
GCA_002244165,6,GCA_002244165.1,ASM224416v1,Escherichia coli,NA,228-2998,NA,NA,NA,Annotation submitted by Broad Institute,5184876,Scaffold,2017-08-07T00:00:00Z,NA,583274,1496014,Illumina,Broad Institute,PRJNA269984,SAMN03262746,4937,4851,1,Escherichia coli,99.22,0.27,GCA_002244165.1_ASM224416v1_genomic,B2,NA
GCA_001575545,129,GCA_001575545.1,ASM157554v1,Escherichia coli,NA,G213,NA,NA,NA,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),4997899,Scaffold,2016-02-26T00:00:00Z,NA,135001,138738,Illumina MiSeq,KOlimastIR,PRJNA305846,SAMN04334726,4980,4733,146,Escherichia coli,98.39,0.59,GCA_001575545.1_ASM157554v1_genomic,A,NA
GCA_002245015,16,GCA_002245015.1,ASM224501v1,Escherichia coli,NA,210-2673,NA,NA,NA,Annotation submitted by Broad Institute,5115398,Scaffold,2017-08-07T00:00:00Z,NA,409196,1164367,Illumina,Broad Institute,PRJNA269984,SAMN03262792,4841,4738,1,Escherichia coli,99.21,0.34,GCA_002245015.1_ASM224501v1_genomic,B2,NA
GCA_001058935,106,GCA_001058935.1,ASM105893v1,Escherichia coli,NA,7_ECOL,NA,NA,NA,NA,4891204,Scaffold,2015-07-10T00:00:00Z,NA,113033,113033,Illumina HiSeq,University of Washington,PRJNA267549,SAMN03197903,NA,NA,NA,Escherichia coli,99.38,0.34,GCA_001058935.1_ASM105893v1_genomic,B1,NA
GCA_001651965,3,GCA_001651965.2,ASM165196v2,Escherichia coli O157:H7,NA,FRIK2455,NA,NA,NA,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),5775520,Complete Genome,2017-08-08T00:00:00Z,NA,5645233,5645233,PacBio,University of Florida,PRJNA322195,SAMN04531998,6242,5762,349,Escherichia coli,99.2,0.25,GCA_001651965.2_ASM165196v2_genomic,E,NA
GCA_001283685,104,GCA_001283685.1,7790_1#61,Escherichia coli,NA,402074_aEPEC,NA,NA,NA,Annotation submitted by SC,4927621,Scaffold,2015-08-22T00:00:00Z,NA,143030,143030,NA,SC,PRJEB2827,SAMEA1466101,4685,4588,NA,Escherichia coli,99.19,0.21,GCA_001283685.1_7790_1_61_genomic,B1,NA
GCA_002207385,201,GCA_002207385.1,ASM220738v1,Escherichia coli,NA,E821,NA,NA,NA,NA,5010247,Scaffold,2017-06-12T00:00:00Z,NA,154624,154624,Illumina HiSeq 2000,SC,PRJEB2796,SAMEA1317827,NA,NA,NA,Escherichia coli,99.56,0.28,GCA_002207385.1_ASM220738v1_genomic,B1,NA
GCA_002152255,6,GCA_002152255.1,ASM215225v1,Escherichia coli,NA,UCI122,NA,NA,NA,Annotation submitted by Broad Institute,5113386,Scaffold,2017-05-19T00:00:00Z,NA,288044,2848588,Illumina,Broad Institute,PRJNA271899,SAMN04521872,4817,4731,1,Escherichia coli,98.88,0.67,GCA_002152255.1_ASM215225v1_genomic,B2,NA
GCA_001900395,1,GCA_001900395.1,ASM190039v1,Escherichia coli,NA,D8,NA,NA,NA,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),5130646,Complete Genome,2016-12-12T00:00:00Z,NA,5130646,5130646,Illumina Miseq; Roche 454 GS Junior,Nanjing Agricultural University,PRJNA269191,SAMN03252426,5058,4831,111,Escherichia coli,99.04,0.48,GCA_001900395.1_ASM190039v1_genomic,B2,NA
GCA_002244835,6,GCA_002244835.1,ASM224483v1,Escherichia coli,NA,157-1949,NA,NA,NA,Annotation submitted by Broad Institute,4724832,Scaffold,2017-08-07T00:00:00Z,NA,444484,1571925,Illumina,Broad Institute,PRJNA269984,SAMN03262782,4414,4316,1,Escherichia coli,99.34,0.18,GCA_002244835.1_ASM224483v1_genomic,B1,NA
GCA_002244275,8,GCA_002244275.1,ASM224427v1,Escherichia coli,NA,323-4035,NA,NA,NA,Annotation submitted by Broad Institute,5038062,Scaffold,2017-08-07T00:00:00Z,NA,338014,2547156,Illumina,Broad Institute,PRJNA269984,SAMN03262755,4667,4578,1,Escherichia coli,99.24,0.74,GCA_002244275.1_ASM224427v1_genomic,B2,NA
GCA_000779695,99,GCA_000779695.1,ASM77969v1,Escherichia coli,NA,upec-185,NA,NA,NA,NA,5086233,Scaffold,2014-11-13T00:00:00Z,NA,167912,225132,Illumina HiSeq,University of Washington,PRJNA248737,SAMN02802003,NA,NA,NA,Escherichia coli,98.95,0.46,GCA_000779695.1_ASM77969v1_genomic,B2,NA
GCA_001608155,158,GCA_001608155.1,ASM160815v1,Escherichia coli,NA,STEC 1634,NA,NA,NA,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),5531100,Scaffold,2016-04-04T00:00:00Z,NA,148417,148417,Illumina MiSeq,"University of Groningen, University Medical Center Groningen",PRJNA285020,SAMN04002659,5683,5392,187,Escherichia coli,99.52,0.86,GCA_001608155.1_ASM160815v1_genomic,B1,NA
GCA_001893705,157,GCA_001893705.1,ASM189370v1,Escherichia coli,NA,715,NA,NA,NA,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),5541877,Scaffold,2016-12-08T00:00:00Z,NA,172538,220275,Illumina HiSeq,"College of Veterinary Medicine,China Agricultural University",PRJNA349231,SAMN05928992,5549,5235,230,Escherichia coli,99.49,0.68,GCA_001893705.1_ASM189370v1_genomic,E,NA
GCA_001607295,85,GCA_001607295.1,ASM160729v1,Escherichia coli,NA,STEC 2359,NA,NA,NA,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),5074826,Scaffold,2016-04-04T00:00:00Z,NA,193512,193851,Illumina MiSeq,"University of Groningen, University Medical Center Groningen",PRJNA285020,SAMN04002673,5116,4894,123,Escherichia coli,99.3,0.6,GCA_001607295.1_ASM160729v1_genomic,B1,NA
GCA_001571595,108,GCA_001571595.1,ASM157159v1,Escherichia coli,NA,CD121,NA,NA,NA,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),4975489,Scaffold,2016-02-24T00:00:00Z,NA,101288,129434,Illumina HiSeq,University of Toronto,PRJNA310650,SAMN04449836,4941,4700,163,Escherichia coli,99.14,0.7,GCA_001571595.1_ASM157159v1_genomic,F,NA
GCA_001283985,74,GCA_001283985.1,7553_7#67,Escherichia coli,NA,202521_aEPEC,NA,NA,NA,Annotation submitted by SC,4860971,Scaffold,2015-08-22T00:00:00Z,NA,417490,417490,NA,SC,PRJEB2827,SAMEA1466184,4738,4639,NA,Escherichia coli,98.87,0.26,GCA_001283985.1_7553_7_67_genomic,B2,NA
GCA_002144185,220,GCA_002144185.1,ASM214418v1,Escherichia coli,NA,02-6737_100,NA,NA,NA,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),5473706,Scaffold,2017-05-16T00:00:00Z,NA,112467,112467,Illumina MiSeq,Health Canada,PRJNA327110,SAMN05301359,5755,5370,262,Escherichia coli,98.99,0.73,GCA_002144185.1_ASM214418v1_genomic,B1,NA
GCA_000782395,160,GCA_000782395.1,ASM78239v1,Escherichia coli,NA,blood-08-1563rep2,NA,NA,NA,NA,5453909,Scaffold,2014-11-13T00:00:00Z,NA,101198,182006,Illumina HiSeq,University of Washington,PRJNA248737,SAMN02801833,NA,NA,NA,Escherichia coli,98.41,0.8,GCA_000782395.1_ASM78239v1_genomic,D,NA
GCA_001282025,285,GCA_001282025.1,ASM128202v1,Escherichia coli,NA,EPEC 1572,NA,NA,NA,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),5389318,Scaffold,2015-09-15T00:00:00Z,NA,126018,126018,Illumina MiSeq,"University of Groningen, University Medical Center Groningen",PRJNA285020,SAMN03785606,5620,5392,121,Escherichia coli,99.28,0.34,GCA_001282025.1_ASM128202v1_genomic,E,NA
GCA_001900965,1,GCA_001900965.1,ASM190096v1,Escherichia coli,NA,S42,NA,NA,NA,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),4838808,Complete Genome,2016-12-12T00:00:00Z,NA,4838808,4838808,Illumina Miseq; Roche 454 GS Junior,Nanjing Agricultural University,PRJNA269191,SAMN03252455,4784,4577,90,Escherichia coli,99.53,0.25,GCA_001900965.1_ASM190096v1_genomic,B1,NA
GCA_000779075,118,GCA_000779075.1,ASM77907v1,Escherichia coli,NA,blood-2011-0141,NA,NA,NA,NA,5449729,Scaffold,2014-11-13T00:00:00Z,NA,119099,178890,Illumina HiSeq,University of Washington,PRJNA248737,SAMN02801897,NA,NA,NA,Escherichia coli,99.08,0.78,GCA_000779075.1_ASM77907v1_genomic,D,NA
GCA_002206825,158,GCA_002206825.1,ASM220682v1,Escherichia coli,NA,E897,NA,NA,NA,NA,5038935,Scaffold,2017-06-12T00:00:00Z,NA,81632,128912,Illumina HiSeq 2000,SC,PRJEB2581,SAMEA1031302,NA,NA,NA,Escherichia coli,99.19,0.99,GCA_002206825.1_ASM220682v1_genomic,A,NA
GCA_001677725,135,GCA_001677725.2,ASM167772v2,Escherichia coli,NA,GN1220,NA,NA,NA,NA,5441312,Scaffold,2016-10-03T00:00:00Z,NA,180736,180736,Illumina MiSeq,Public Health Ontario,PRJNA299801,SAMN04229517,NA,NA,NA,Escherichia coli,98.64,0.2,GCA_001677725.2_ASM167772v2_genomic,E,NA
GCA_001606615,120,GCA_001606615.1,ASM160661v1,Escherichia coli,NA,STEC 1500,NA,NA,NA,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),5308364,Scaffold,2016-04-04T00:00:00Z,NA,135698,135698,Illumina MiSeq,"University of Groningen, University Medical Center Groningen",PRJNA285020,SAMN04002653,5353,5078,179,Escherichia coli,99.44,0.79,GCA_001606615.1_ASM160661v1_genomic,B1,NA
GCA_001285085,111,GCA_001285085.1,8205_3#12,Escherichia coli,NA,403066,NA,NA,NA,Annotation submitted by SC,5219584,Scaffold,2015-08-23T00:00:00Z,NA,137721,169715,NA,SC,PRJEB2827,SAMEA1531056,5057,4971,NA,Escherichia coli,99.56,0.31,GCA_001285085.1_8205_3_12_genomic,B1,NA
GCA_001055685,211,GCA_001055685.1,ASM105568v1,Escherichia coli,NA,184_ECOL,NA,NA,NA,NA,5317607,Scaffold,2015-07-10T00:00:00Z,NA,124202,124202,Illumina HiSeq,University of Washington,PRJNA267549,SAMN03197375,NA,NA,NA,Escherichia coli,99.02,0.72,GCA_001055685.1_ASM105568v1_genomic,B2,NA
GCA_001606695,155,GCA_001606695.1,ASM160669v1,Escherichia coli,NA,STEC 707,NA,NA,NA,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),5175083,Scaffold,2016-04-04T00:00:00Z,NA,135287,135287,Illumina MiSeq,"University of Groningen, University Medical Center Groningen",PRJNA285020,SAMN04002625,5334,5036,198,Escherichia coli,99.4,0.15,GCA_001606695.1_ASM160669v1_genomic,B1,NA
GCA_001030345,5,GCA_001030345.1,Esch_coli_MGH107_V1,Escherichia coli,NA,MGH107,NA,NA,NA,Annotation submitted by Broad Institute,5224973,Scaffold,2015-06-22T00:00:00Z,NA,559998,5067455,Illumina,Broad Institute,PRJNA271899,SAMN03280203,5079,4985,NA,Escherichia coli,98.38,0.26,GCA_001030345.1_Esch_coli_MGH107_V1_genomic,B2,NA
GCA_001894245,199,GCA_001894245.1,ASM189424v1,Escherichia coli,NA,495,NA,NA,NA,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),4919596,Scaffold,2016-12-08T00:00:00Z,NA,136953,136953,Illumina HiSeq,"College of Veterinary Medicine,China Agricultural University",PRJNA349231,SAMN05928960,4948,4671,192,Escherichia coli,99.39,0.4,GCA_001894245.1_ASM189424v1_genomic,D,NA
GCA_002207045,241,GCA_002207045.1,ASM220704v1,Escherichia coli,NA,E703,NA,NA,NA,NA,5270215,Scaffold,2017-06-12T00:00:00Z,NA,126988,126988,Illumina HiSeq 2000,SC,PRJEB2796,SAMEA1317744,NA,NA,NA,Escherichia coli,99.17,0.62,GCA_002207045.1_ASM220704v1_genomic,B1,NA
GCA_002163275,9,GCA_002163275.1,ASM216327v1,Escherichia coli,NA,BIDMC116,NA,NA,NA,Annotation submitted by Broad Institute,5072689,Scaffold,2017-05-31T00:00:00Z,NA,182682,3403184,Illumina,Broad Institute,PRJNA271899,SAMN04521848,4819,4735,1,Escherichia coli,97.91,0.22,GCA_002163275.1_ASM216327v1_genomic,B2,NA
GCA_001064885,119,GCA_001064885.1,ASM106488v1,Escherichia coli,NA,425_SBOY,NA,NA,NA,NA,5302048,Scaffold,2015-07-10T00:00:00Z,NA,120371,120371,Illumina HiSeq,University of Washington,PRJNA267549,SAMN03197618,NA,NA,NA,Escherichia coli,98.86,0.62,GCA_001064885.1_ASM106488v1_genomic,B2,NA
GCA_001886575,6,GCA_001886575.1,ASM188657v1,Escherichia coli,NA,MRSN346355,NA,NA,NA,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),5114354,Complete Genome,2016-11-28T00:00:00Z,NA,4794148,4794148,PacBio; Illumina MiSeq,Walter Reed Army Institute of Research,PRJNA353939,SAMN06029896,5085,4839,118,Escherichia coli,98.43,0.44,GCA_001886575.1_ASM188657v1_genomic,A,NA
GCA_001886755,6,GCA_001886755.1,ASM188675v1,Escherichia coli,NA,MRSN346595,NA,NA,NA,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),5116627,Complete Genome,2016-11-28T00:00:00Z,NA,4796421,4796421,PacBio; Illumina MiSeq,Walter Reed Army Institute of Research,PRJNA353939,SAMN06029894,5091,4842,121,Escherichia coli,98.43,0.44,GCA_001886755.1_ASM188675v1_genomic,A,NA
GCA_000779935,104,GCA_000779935.1,ASM77993v1,Escherichia coli,NA,blood-10-1610,NA,NA,NA,NA,5508754,Scaffold,2014-11-13T00:00:00Z,NA,146811,181660,Illumina HiSeq,University of Washington,PRJNA248737,SAMN02801890,NA,NA,NA,Escherichia coli,98.46,0.84,GCA_000779935.1_ASM77993v1_genomic,B2,NA
GCA_002164975,5,GCA_002164975.2,ASM216497v2,Escherichia coli,NA,SCEC020026,NA,NA,NA,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),4913909,Complete Genome,2019-01-22T00:00:00Z,NA,4763166,4763166,Illumina HiSeq; Oxford Nanopore MiniION,"West China Hospital, Sichuan University",PRJNA418674,SAMN06909178,4827,4499,212,Escherichia coli,99.35,0.39,GCA_002164975.2_ASM216497v2_genomic,C,NA
GCA_000779515,53,GCA_000779515.1,ASM77951v1,Escherichia coli,NA,upec-195,NA,NA,NA,NA,4785949,Scaffold,2014-11-13T00:00:00Z,NA,159019,392436,Illumina HiSeq,University of Washington,PRJNA248737,SAMN02802014,NA,NA,NA,Escherichia coli,99.24,0.33,GCA_000779515.1_ASM77951v1_genomic,B2,NA
GCA_001012445,191,GCA_001012445.1,CFSAN026826_02.0,Escherichia coli,NA,CFSAN026826,NA,NA,NA,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),5407777,Scaffold,2015-05-22T00:00:00Z,NA,135498,135498,Illumina MiSeq,FDA/CFSAN,PRJNA230969,SAMN03455841,5695,5476,114,Escherichia coli,99.21,0.24,GCA_001012445.1_CFSAN026826_02.0_genomic,B1,NA
GCA_002207105,134,GCA_002207105.1,ASM220710v1,Escherichia coli,NA,E356,NA,NA,NA,NA,4661368,Scaffold,2017-06-12T00:00:00Z,NA,131328,131933,Illumina HiSeq 2000,SC,PRJEB2796,SAMEA1317755,NA,NA,NA,Escherichia coli,98.96,0.16,GCA_002207105.1_ASM220710v1_genomic,A,NA
GCA_001693315,2,GCA_001693315.1,ASM169331v1,Escherichia coli,NA,UPEC 26-1,NA,NA,NA,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),5329753,Complete Genome,2016-07-25T00:00:00Z,NA,5178720,5178720,PacBio RS,"Chungnam National University, College of medicine",PRJNA329167,SAMN05392487,5286,5064,100,Escherichia coli,98.74,0.3,GCA_001693315.1_ASM169331v1_genomic,B2,NA
GCA_001893775,116,GCA_001893775.1,ASM189377v1,Escherichia coli,NA,711,NA,NA,NA,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),4864409,Scaffold,2016-12-08T00:00:00Z,NA,132222,134402,Illumina HiSeq,"College of Veterinary Medicine,China Agricultural University",PRJNA349231,SAMN05929004,4838,4578,166,Escherichia coli,98.89,0.97,GCA_001893775.1_ASM189377v1_genomic,B1,NA
GCA_002243915,14,GCA_002243915.1,ASM224391v1,Escherichia coli,NA,67-1202,NA,NA,NA,Annotation submitted by Broad Institute,5048320,Scaffold,2017-08-07T00:00:00Z,NA,230510,1352476,Illumina,Broad Institute,PRJNA269984,SAMN03262735,4877,4772,2,Escherichia coli,98.5,0.34,GCA_002243915.1_ASM224391v1_genomic,A,NA
GCA_000779295,58,GCA_000779295.1,ASM77929v1,Escherichia coli,NA,upec-202,NA,NA,NA,NA,4794340,Scaffold,2014-11-13T00:00:00Z,NA,154652,336185,Illumina HiSeq,University of Washington,PRJNA248737,SAMN02802023,NA,NA,NA,Escherichia coli,99.22,0.24,GCA_000779295.1_ASM77929v1_genomic,B2,NA
GCA_001183665,1,GCA_001183665.1,ASM118366v1,Escherichia coli,NA,DH1Ec104,NA,NA,NA,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),4612363,Complete Genome,2015-07-21T00:00:00Z,NA,4612363,4612363,Illumina,Joint Genome Institute,PRJNA290012,SAMN03863255,4557,4350,89,Escherichia coli,99.02,0.15,GCA_001183665.1_ASM118366v1_genomic,A,NA
GCA_001606725,203,GCA_001606725.1,ASM160672v1,Escherichia coli,NA,STEC 384,NA,NA,NA,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),5352244,Scaffold,2016-04-04T00:00:00Z,NA,126883,126883,Illumina MiSeq,"University of Groningen, University Medical Center Groningen",PRJNA285020,SAMN04002612,5543,5239,210,Escherichia coli,99.56,0.29,GCA_001606725.1_ASM160672v1_genomic,B1,NA
GCA_002244195,8,GCA_002244195.1,ASM224419v1,Escherichia coli,NA,265-3396,NA,NA,NA,Annotation submitted by Broad Institute,5142782,Scaffold,2017-08-07T00:00:00Z,NA,276806,2862066,Illumina,Broad Institute,PRJNA269984,SAMN03262748,4862,4773,1,Escherichia coli,98.97,0.25,GCA_002244195.1_ASM224419v1_genomic,B2,NA
GCA_001063395,127,GCA_001063395.1,ASM106339v1,Escherichia coli,NA,426_SBOY,NA,NA,NA,NA,5144049,Scaffold,2015-07-10T00:00:00Z,NA,117781,123697,Illumina HiSeq,University of Washington,PRJNA267549,SAMN03197619,NA,NA,NA,Escherichia coli,98.86,0.62,GCA_001063395.1_ASM106339v1_genomic,B2,NA
GCA_002243835,15,GCA_002243835.1,ASM224383v1,Escherichia coli,NA,67-921,NA,NA,NA,Annotation submitted by Broad Institute,5042485,Scaffold,2017-08-07T00:00:00Z,NA,348238,606002,Illumina,Broad Institute,PRJNA269984,SAMN03262732,4857,4752,1,Escherichia coli,98.5,0.34,GCA_002243835.1_ASM224383v1_genomic,A,NA
GCA_000781575,61,GCA_000781575.1,ASM78157v1,Escherichia coli,NA,blood-10-0686,NA,NA,NA,NA,5177915,Scaffold,2014-11-13T00:00:00Z,NA,90615,236967,Illumina HiSeq,University of Washington,PRJNA248737,SAMN02801874,NA,NA,NA,Escherichia coli,99.07,0.23,GCA_000781575.1_ASM78157v1_genomic,B2,NA
GCA_001183685,1,GCA_001183685.1,ASM118368v1,Escherichia coli,NA,DH1Ec169,NA,NA,NA,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),4609522,Complete Genome,2015-07-21T00:00:00Z,NA,4609522,4609522,Illumina,Joint Genome Institute,PRJNA290012,SAMN03863378,4558,4348,92,Escherichia coli,98.69,0.15,GCA_001183685.1_ASM118368v1_genomic,A,NA
GCA_002165955,219,GCA_002165955.1,ASM216595v1,Escherichia coli,NA,12.1a,NA,NA,NA,NA,4990950,Scaffold,2017-06-05T00:00:00Z,NA,137716,164426,Illumina HiSeq2000,Broad Institute,PRJNA269984,SAMN06856377,NA,NA,NA,Escherichia coli,98.54,0.7,GCA_002165955.1_ASM216595v1_genomic,B2,NA
GCA_001753445,2,GCA_001753445.1,ASM175344v1,Escherichia coli O157:H7,NA,1130,NA,NA,NA,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),5509007,Complete Genome,2016-10-06T00:00:00Z,NA,5416383,5416383,PacBio,United State Department of Agriculture,PRJNA291880,SAMN04447635,5623,5353,136,Escherichia coli,98.77,0.15,GCA_001753445.1_ASM175344v1_genomic,E,NA
GCA_001607205,278,GCA_001607205.1,ASM160720v1,Escherichia coli,NA,STEC 1236,NA,NA,NA,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),5471172,Scaffold,2016-04-04T00:00:00Z,NA,100565,100909,Illumina MiSeq,"University of Groningen, University Medical Center Groningen",PRJNA285020,SAMN04002641,5756,5349,297,Escherichia coli,99.48,0.71,GCA_001607205.1_ASM160720v1_genomic,B1,NA
GCA_002244775,15,GCA_002244775.1,ASM224477v1,Escherichia coli,NA,136-1863,NA,NA,NA,Annotation submitted by Broad Institute,5101425,Scaffold,2017-08-07T00:00:00Z,NA,328351,609497,Illumina,Broad Institute,PRJNA269984,SAMN03262779,4763,4676,1,Escherichia coli,99.24,0.22,GCA_002244775.1_ASM224477v1_genomic,B2,NA
GCA_002970995,41,GCA_002970995.1,ASM297099v1,Escherichia coli,NA,HT2012EP06,NA,NA,NA,NA,4887820,Scaffold,2018-03-06T00:00:00Z,NA,200030,387908,Illumina GAIIx,National institute for communicable disease control and prevention,PRJNA276772,SAMN03380748,NA,NA,NA,Escherichia coli,99.22,0.56,GCA_002970995.1_ASM297099v1_genomic,B2,NA
