assembly_id_simp,Contig_number,assembly_id,organism_name,organism_name_breed,strain,cultivar,ecotype,isolate,annotation_name,seq_length,assembly_level,release_date,wgs_project,contig_n50,scaffold_n50,sequencing_tech,submitter,bioproject,biosample,genes,protein_coding_genes,pseudogenes,checkM_marker_set,checkM_completeness,checkM_contamination
GCA_003368475,3,GCA_003368475.2,Escherichia coli,NA,RM10645,NA,NA,NA,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),5585136,Scaffold,2019-05-11T00:00:00Z,NA,5303871,5303871,PacBio RSII,USDA/ARS/WRRC/PSM,PRJNA401000,SAMN09761791,5712,5166,412,Escherichia coli,97.6,0.15
GCA_003018355,2,GCA_003018355.1,Escherichia coli,NA,00-3076,NA,NA,NA,NA,5158555,Complete Genome,2018-03-26T00:00:00Z,NA,4997979,4997979,PacBio,CDC,PRJNA218110,SAMN08579602,NA,NA,NA,Escherichia coli,98.7,0.6
GCA_002765475,282,GCA_002765475.1,Escherichia coli O26:H11,NA,10097,NA,NA,NA,NA,5576220,Scaffold,2017-10-27T00:00:00Z,NA,104253,117960,Illumina HiSeq 2000,"Microbiology, Graduate School of Medical Sciences, Kyushu University",PRJDB5571,SAMD00075840,NA,NA,NA,Escherichia coli,99.15,0.86
GCA_002769135,259,GCA_002769135.1,Escherichia coli O26:H11,NA,EH2258,NA,NA,NA,NA,5520259,Scaffold,2017-10-27T00:00:00Z,NA,101678,115118,Illumina MiSeq,"Microbiology, Graduate School of Medical Sciences, Kyushu University",PRJDB5571,SAMD00075988,NA,NA,NA,Escherichia coli,99.17,0.81
GCA_002972665,91,GCA_002972665.1,Escherichia coli,NA,HT2012099,NA,NA,NA,NA,5213908,Scaffold,2018-03-06T00:00:00Z,NA,125930,208784,Illumina GAIIx,National institute for communicable disease control and prevention,PRJNA277239,SAMN03388247,NA,NA,NA,Escherichia coli,98.98,0.49
GCA_002530685,97,GCA_002530685.1,Escherichia coli,NA,N51980,NA,NA,NA,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),4912201,Scaffold,2017-10-12T00:00:00Z,NA,140444,140444,Illumina MiSeq,FDA,PRJNA221632,SAMN07624456,5172,4827,246,Escherichia coli,99.46,0.55
GCA_002953875,1,GCA_002953875.1,Escherichia coli,NA,2A,NA,NA,NA,NA,4651765,Complete Genome,2018-02-01T00:00:00Z,NA,4651765,4651765,illumina,University of Texas at Austin,PRJNA430697,SAMN08380004,NA,NA,NA,Escherichia coli,99.48,0.21
GCA_002766035,309,GCA_002766035.1,Escherichia coli O26:H11,NA,10379,NA,NA,NA,NA,5578204,Scaffold,2017-10-27T00:00:00Z,NA,92053,101550,Illumina HiSeq 2000,"Microbiology, Graduate School of Medical Sciences, Kyushu University",PRJDB5571,SAMD00075870,NA,NA,NA,Escherichia coli,98.82,0.86
GCA_003602135,99,GCA_003602135.1,Escherichia coli,NA,E818,NA,NA,NA,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),5101367,Scaffold,2018-10-01T00:00:00Z,NA,168953,168953,Illumina HiSeq,Nanjing Agricultural University,PRJNA488670,SAMN10119051,5292,4939,259,Escherichia coli,99.3,0.43
GCA_002903125,3,GCA_002903125.1,Escherichia coli,NA,ECONIH6,NA,NA,NA,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),5068035,Complete Genome,2018-01-29T00:00:00Z,NA,4869246,4869246,PacBio RSII,NIH,PRJNA430813,SAMN05341196,5253,4846,287,Escherichia coli,98.54,0.67
GCA_003019215,2,GCA_003019215.1,Escherichia coli,NA,2013C-3342,NA,NA,NA,NA,5555996,Complete Genome,2018-03-26T00:00:00Z,NA,5489451,5489451,PacBio,CDC,PRJNA218110,SAMN08579610,NA,NA,NA,Escherichia coli,98.97,0.61
GCA_003304375,157,GCA_003304375.1,Escherichia coli,NA,A313,NA,NA,NA,NA,4830442,Scaffold,2018-07-09T00:00:00Z,NA,101426,101426,Illumina HiSeq,China Agricultural University,PRJNA400107,SAMN07556564,NA,NA,NA,Escherichia coli,98.42,0.41
GCA_002442365,114,GCA_002442365.1,Escherichia coli,NA,40_Esco_HA-DE,NA,NA,NA,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),4908468,Scaffold,2017-10-04T00:00:00Z,NA,109841,112692,Illumina MiSeq,University Medical Center Groningen,PRJNA352198,SAMN05977366,5151,4822,240,Escherichia coli,98.66,0.58
GCA_003358945,134,GCA_003358945.1,Escherichia coli,NA,SC312,NA,NA,NA,Annotation submitted by University of Basel,4795344,Scaffold,2018-08-03T00:00:00Z,NA,155150,155150,Illumina HiSeq,University of Basel,PRJNA432505,SAMN08462931,4513,4442,NA,Escherichia coli,99.46,0.4
GCA_002879805,50,GCA_002879805.2,Escherichia coli,NA,SP-4,NA,NA,NA,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),4894697,Scaffold,2018-03-06T00:00:00Z,NA,375417,375417,Illumina Miniseq,United States Department of Agriculture,PRJNA422252,SAMN08168528,5073,4785,196,Escherichia coli,99.22,0.21
GCA_003427435,83,GCA_003427435.1,Escherichia coli,NA,L172,NA,NA,NA,NA,4997822,Scaffold,2018-08-24T00:00:00Z,NA,221127,221127,Illumina MiSeq,inserm,PRJNA479435,SAMN09537416,NA,NA,NA,Escherichia coli,98.83,0.91
GCA_002764175,5,GCA_002764175.1,Escherichia coli,NA,F5176C6,NA,NA,NA,NA,5425513,Chromosome,2017-11-13T00:00:00Z,NA,5069317,5069417,PacBio,CDC,PRJNA218110,SAMN07656208,NA,NA,NA,Escherichia coli,99.31,0.38
GCA_002860105,6,GCA_002860105.1,Escherichia coli,NA,CRE1493,NA,NA,NA,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),5256088,Complete Genome,2018-01-04T00:00:00Z,NA,4877335,4877335,PacBio,The University of Hong Kong,PRJNA360013,SAMN06198937,5647,5226,299,Escherichia coli,98.51,0.87
GCA_002768955,299,GCA_002768955.1,Escherichia coli O26:H11,NA,EH2149,NA,NA,NA,NA,5490140,Scaffold,2017-10-27T00:00:00Z,NA,94313,102643,Illumina MiSeq,"Microbiology, Graduate School of Medical Sciences, Kyushu University",PRJDB5571,SAMD00075979,NA,NA,NA,Escherichia coli,99.3,0.71
GCA_002973095,178,GCA_002973095.1,Escherichia coli,NA,HT2012121,NA,NA,NA,NA,5243080,Scaffold,2018-03-06T00:00:00Z,NA,78584,139074,Illumina GAIIx,National institute for communicable disease control and prevention,PRJNA277248,SAMN03388563,NA,NA,NA,Escherichia coli,98.98,0.81
GCA_002741455,2,GCA_002741455.1,Escherichia coli O128:H27,NA,90-9281,NA,NA,NA,NA,5130625,Complete Genome,2017-11-02T00:00:00Z,NA,4978613,4978613,PacBio,CDC,PRJNA218110,SAMN07656206,NA,NA,NA,Escherichia coli,99.46,0.27
GCA_003292795,111,GCA_003292795.1,Escherichia coli,NA,A423,NA,NA,NA,NA,4829805,Scaffold,2018-07-09T00:00:00Z,NA,120827,120827,Illumina HiSeq,China Agricultural University,PRJNA400107,SAMN07556657,NA,NA,NA,Escherichia coli,99.46,0.16
GCA_002766615,315,GCA_002766615.1,Escherichia coli O26:H11,NA,10938,NA,NA,NA,NA,5657363,Scaffold,2017-10-27T00:00:00Z,NA,101003,117960,Illumina HiSeq 2000,"Microbiology, Graduate School of Medical Sciences, Kyushu University",PRJDB5571,SAMD00075903,NA,NA,NA,Escherichia coli,99.31,0.76
GCA_003812625,6,GCA_003812625.1,Escherichia coli,NA,FDAARGOS_536,NA,NA,NA,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),5104538,Complete Genome,2018-11-21T00:00:00Z,NA,4977723,4977723,PacBio; Illumina,US Food and Drug Administration,PRJNA231221,SAMN10163231,5101,4760,224,Escherichia coli,98.21,0.66
GCA_002769875,336,GCA_002769875.1,Escherichia coli O26:H11,NA,2191,NA,NA,NA,NA,5571622,Scaffold,2017-10-27T00:00:00Z,NA,102585,104879,Illumina HiSeq 2000,"Microbiology, Graduate School of Medical Sciences, Kyushu University",PRJDB5571,SAMD00076030,NA,NA,NA,Escherichia coli,99.25,0.71
GCA_002972305,82,GCA_002972305.1,Escherichia coli,NA,HT2012100,NA,NA,NA,NA,5146399,Scaffold,2018-03-06T00:00:00Z,NA,57334,209693,Illumina GAIIx,National institute for communicable disease control and prevention,PRJNA277089,SAMN03384226,NA,NA,NA,Escherichia coli,98.41,0.69
GCA_003291985,113,GCA_003291985.1,Escherichia coli,NA,3768,NA,NA,NA,NA,4801530,Scaffold,2018-07-09T00:00:00Z,NA,124170,124170,Illumina HiSeq,China Agricultural University,PRJNA400107,SAMN08148362,NA,NA,NA,Escherichia coli,98.82,0.53
GCA_003122105,4,GCA_003122105.1,Escherichia coli,NA,ECCRA-119,NA,NA,NA,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),5225188,Complete Genome,2018-05-13T00:00:00Z,NA,4893130,4893130,PacBio,Zhejiang Academy of Agricultural Sciences,PRJNA439379,SAMN08765149,5489,5042,329,Escherichia coli,99.52,0.7
GCA_003018195,2,GCA_003018195.1,Escherichia coli,NA,89-3156,NA,NA,NA,NA,5191444,Complete Genome,2018-03-26T00:00:00Z,NA,5065883,5065883,PacBio,CDC,PRJNA218110,SAMN08579571,NA,NA,NA,Escherichia coli,98.91,0.51
GCA_002967935,2,GCA_002967935.2,Escherichia coli,NA,ESY001,NA,NA,NA,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),4879679,Complete Genome,2021-11-16T00:00:00Z,NA,4833518,4833518,Illumina HiSeq; Oxford Nanopore MinION,Academy of Military Medical Sciences,PRJNA433600,SAMN08560505,4719,4389,211,Escherichia coli,98.01,0.63
GCA_002924045,333,GCA_002924045.1,Escherichia coli O26:H11,NA,EH2115,NA,NA,NA,NA,5650958,Scaffold,2018-01-25T00:00:00Z,NA,97896,101075,Illumina MiSeq,"Microbiology, Graduate School of Medical Sciences, Kyushu University",PRJDB5571,SAMD00075977,NA,NA,NA,Escherichia coli,98.97,0.81
GCA_002735085,247,GCA_002735085.1,Escherichia coli O26:H11,NA,99/109,NA,NA,NA,NA,5485044,Scaffold,2017-10-24T00:00:00Z,NA,125644,126981,Illumina HiSeq 2000,"Microbiology, Graduate School of Medical Sciences, Kyushu University",PRJDB5571,SAMD00075758,NA,NA,NA,Escherichia coli,99.18,0.65
GCA_003292855,172,GCA_003292855.1,Escherichia coli,NA,A107,NA,NA,NA,NA,4753711,Scaffold,2018-07-09T00:00:00Z,NA,116116,116116,Illumina HiSeq,China Agricultural University,PRJNA400107,SAMN07556654,NA,NA,NA,Escherichia coli,98.64,0.31
GCA_003731515,51,GCA_003731515.1,Escherichia coli,NA,HE-MDREc63,NA,NA,NA,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),5193862,Scaffold,2018-11-15T00:00:00Z,NA,326209,326209,Illumina HiSeq,"Medicine / Division of Infectious Diseases, University of North Carolina",PRJDB4868,SAMD00052682,5281,5002,179,Escherichia coli,98.94,0.67
GCA_003358335,87,GCA_003358335.1,Escherichia coli,NA,SC346,NA,NA,NA,Annotation submitted by University of Basel,4840153,Scaffold,2018-08-03T00:00:00Z,NA,204705,204705,Illumina HiSeq,University of Basel,PRJNA432505,SAMN08462958,4482,4402,NA,Escherichia coli,99.39,0.26
GCA_002770495,273,GCA_002770495.1,Escherichia coli O26:H11,NA,21-67-1,NA,NA,NA,NA,5612673,Scaffold,2017-10-27T00:00:00Z,NA,92222,104262,Illumina MiSeq,"Microbiology, Graduate School of Medical Sciences, Kyushu University",PRJDB5571,SAMD00076065,NA,NA,NA,Escherichia coli,99.25,0.73
GCA_002971135,90,GCA_002971135.1,Escherichia coli,NA,HT2012EP13,NA,NA,NA,NA,5003440,Scaffold,2018-03-06T00:00:00Z,NA,132581,319275,Illumina GAIIx,National institute for communicable disease control and prevention,PRJNA276781,SAMN03380760,NA,NA,NA,Escherichia coli,99.22,0.53
GCA_003018515,2,GCA_003018515.1,Escherichia coli,NA,2013C-3996,NA,NA,NA,NA,5955903,Chromosome,2018-03-26T00:00:00Z,NA,5858766,5858866,PacBio,CDC,PRJNA218110,SAMN04504054,NA,NA,NA,Escherichia coli,98.93,0.65
GCA_002734945,303,GCA_002734945.1,Escherichia coli O26:H11,NA,TC3656,NA,NA,NA,NA,5555861,Scaffold,2017-10-24T00:00:00Z,NA,109003,115044,Illumina HiSeq 2000,"Microbiology, Graduate School of Medical Sciences, Kyushu University",PRJDB5571,SAMD00075749,NA,NA,NA,Escherichia coli,99.27,0.71
GCA_003711045,5,GCA_003711045.1,Escherichia coli,NA,WCHEC020031,NA,NA,NA,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),4894762,Complete Genome,2018-11-05T00:00:00Z,NA,4750764,4750764,Illumina HiSeq; Oxford Nanopore MiniION,"West China Hospital, Sichuan University",PRJNA418674,SAMN08932733,4808,4479,213,Escherichia coli,99.35,0.39
GCA_002952895,1,GCA_002952895.1,Escherichia coli,NA,6A,NA,NA,NA,NA,4651793,Complete Genome,2018-02-01T00:00:00Z,NA,4651793,4651793,illumina,University of Texas at Austin,PRJNA430697,SAMN08380015,NA,NA,NA,Escherichia coli,99.48,0.21
GCA_003303375,155,GCA_003303375.1,Escherichia coli,NA,A278,NA,NA,NA,NA,5020816,Scaffold,2018-07-09T00:00:00Z,NA,115895,115895,Illumina HiSeq,China Agricultural University,PRJNA400107,SAMN07556518,NA,NA,NA,Escherichia coli,98.69,0.69
GCA_003008665,448,GCA_003008665.1,Escherichia coli,NA,sc12-62,NA,NA,NA,NA,5281170,Scaffold,2018-03-19T00:00:00Z,NA,106727,106727,Illumina HiSeq,China Aricultural University,PRJNA417344,SAMN07983328,NA,NA,NA,Escherichia coli,98.41,0.8
GCA_003318395,154,GCA_003318395.1,Escherichia coli,NA,AVC91,NA,NA,NA,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),5179668,Scaffold,2018-07-14T00:00:00Z,NA,158965,158965,Illumina HiSeq,"University of Technology, Sydney",PRJNA479542,SAMN09579985,5432,5074,254,Escherichia coli,99.34,0.39
GCA_002769995,280,GCA_002769995.1,Escherichia coli O26:H11,NA,2329,NA,NA,NA,NA,5482206,Scaffold,2017-10-27T00:00:00Z,NA,102546,113935,Illumina HiSeq 2000,"Microbiology, Graduate School of Medical Sciences, Kyushu University",PRJDB5571,SAMD00076036,NA,NA,NA,Escherichia coli,99.31,0.76
GCA_002765555,366,GCA_002765555.1,Escherichia coli O26:H11,NA,10138,NA,NA,NA,NA,5706364,Scaffold,2017-10-27T00:00:00Z,NA,92071,104910,Illumina HiSeq 2000,"Microbiology, Graduate School of Medical Sciences, Kyushu University",PRJDB5571,SAMD00075844,NA,NA,NA,Escherichia coli,99.15,0.8
GCA_002766895,253,GCA_002766895.1,Escherichia coli O26:H11,NA,PV835,NA,NA,NA,NA,5441876,Scaffold,2017-10-27T00:00:00Z,NA,113935,122274,Illumina HiSeq 2000,"Microbiology, Graduate School of Medical Sciences, Kyushu University",PRJDB5571,SAMD00075920,NA,NA,NA,Escherichia coli,99.29,0.71
GCA_003300885,14,GCA_003300885.1,Escherichia coli,NA,1610260009,NA,NA,NA,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),5092914,Scaffold,2018-07-09T00:00:00Z,NA,139566,5026994,Illumina MiSeq,MIT,PRJNA387754,SAMN07163065,5157,4828,242,Escherichia coli,98.89,0.36
GCA_002769955,331,GCA_002769955.1,Escherichia coli O26:H11,NA,2314,NA,NA,NA,NA,5517909,Scaffold,2017-10-27T00:00:00Z,NA,104117,117959,Illumina HiSeq 2000,"Microbiology, Graduate School of Medical Sciences, Kyushu University",PRJDB5571,SAMD00076034,NA,NA,NA,Escherichia coli,99.23,0.77
GCA_003571685,2,GCA_003571685.1,Escherichia coli,NA,AR_0013,NA,NA,NA,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),5481110,Complete Genome,2018-09-16T00:00:00Z,NA,5410835,5410835,PacBio RSII,Centers for Disease Control and Prevention,PRJNA292901,SAMN04014854,5753,5262,370,Escherichia coli,98.54,0.33
GCA_002971115,48,GCA_002971115.1,Escherichia coli,NA,HT2012EP09,NA,NA,NA,NA,4702942,Scaffold,2018-03-06T00:00:00Z,NA,214602,248574,Illumina GAIIx,National institute for communicable disease control and prevention,PRJNA276777,SAMN03380756,NA,NA,NA,Escherichia coli,98.95,0.33
GCA_003018695,2,GCA_003018695.1,Escherichia coli,NA,2015C-3107,NA,NA,NA,NA,5470214,Complete Genome,2018-03-26T00:00:00Z,NA,5388260,5388260,PacBio,CDC,PRJNA218110,SAMN08579558,NA,NA,NA,Escherichia coli,97.85,0.34
GCA_002915115,185,GCA_002915115.1,Escherichia coli,NA,DV60u,NA,NA,NA,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),5246870,Scaffold,2018-02-02T00:00:00Z,NA,192395,192395,Illumina HiSeq,"mEpilab, Massey University",PRJNA415994,SAMN07839709,5721,5260,353,Escherichia coli,98.69,0.37
GCA_002764455,278,GCA_002764455.1,Escherichia coli O26:H11,NA,E0447,NA,NA,NA,NA,5574050,Scaffold,2017-10-27T00:00:00Z,NA,92347,107481,Illumina MiSeq,"Microbiology, Graduate School of Medical Sciences, Kyushu University",PRJDB5571,SAMD00075781,NA,NA,NA,Escherichia coli,99.31,0.71
GCA_003357915,106,GCA_003357915.1,Escherichia coli,NA,SC367,NA,NA,NA,Annotation submitted by University of Basel,4823481,Scaffold,2018-08-03T00:00:00Z,NA,196112,196112,Illumina HiSeq,University of Basel,PRJNA432505,SAMN08462979,4579,4513,NA,Escherichia coli,99.56,0.42
GCA_003305005,91,GCA_003305005.1,Escherichia coli,NA,B146,NA,NA,NA,NA,4850196,Scaffold,2018-07-09T00:00:00Z,NA,254935,254935,Illumina HiSeq,China Agricultural University,PRJNA400107,SAMN07556479,NA,NA,NA,Escherichia coli,99.43,0.74
GCA_002591135,5,GCA_002591135.1,Escherichia coli,NA,FDAARGOS_448,NA,NA,NA,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),5446833,Complete Genome,2017-10-18T00:00:00Z,NA,5169451,5169451,PacBio; Illumina,University of Maryland School of Medicine Institute for Genome Sciences (IGS) - sequencing center,PRJNA231221,SAMN07312492,5686,5230,331,Escherichia coli,99.09,0.99
GCA_002810165,93,GCA_002810165.1,Escherichia coli,NA,K56-50,NA,NA,NA,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),4766533,Scaffold,2017-12-05T00:00:00Z,NA,184166,203367,Illumina MiSeq,UiT - The Arctic University of Norway,PRJNA419689,SAMN08095551,5045,4740,196,Escherichia coli,98.62,0.26
GCA_002924085,240,GCA_002924085.1,Escherichia coli O26:H11,NA,KS78,NA,NA,NA,NA,5664833,Scaffold,2018-01-25T00:00:00Z,NA,87482,110490,Illumina MiSeq,"Microbiology, Graduate School of Medical Sciences, Kyushu University",PRJDB5571,SAMD00075991,NA,NA,NA,Escherichia coli,99.23,0.73
GCA_003018895,2,GCA_003018895.1,Escherichia coli,NA,2014C-3057,NA,NA,NA,NA,5700435,Complete Genome,2018-03-26T00:00:00Z,NA,5645983,5645983,PacBio,CDC,PRJNA218110,SAMN08579576,NA,NA,NA,Escherichia coli,98.95,0.71
GCA_003122025,71,GCA_003122025.1,Escherichia coli,NA,EC-1,NA,NA,NA,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),5197634,Scaffold,2018-05-12T00:00:00Z,NA,227870,252414,Illumina HiSeq,Institute for Infectious Diseases,PRJNA453674,SAMN08985439,5413,5070,256,Escherichia coli,99.02,0.74
GCA_003368495,10,GCA_003368495.2,Escherichia coli,NA,RM10024,NA,NA,NA,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),5667120,Scaffold,2019-05-11T00:00:00Z,NA,4132016,4132016,PacBio RSII,USDA/ARS/WRRC/PSM,PRJNA401000,SAMN09761789,5831,5311,382,Escherichia coli,98.63,0.15
GCA_003368525,14,GCA_003368525.2,Escherichia coli,NA,RM10641,NA,NA,NA,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),5646822,Scaffold,2019-05-11T00:00:00Z,NA,4310246,4310246,PacBio RSII,USDA/ARS/WRRC/PSM,PRJNA401000,SAMN09761790,5793,5300,359,Escherichia coli,99.18,0.16
GCA_002766475,288,GCA_002766475.1,Escherichia coli O26:H11,NA,10815,NA,NA,NA,NA,5675848,Scaffold,2017-10-27T00:00:00Z,NA,86659,104140,Illumina HiSeq 2000,"Microbiology, Graduate School of Medical Sciences, Kyushu University",PRJDB5571,SAMD00075896,NA,NA,NA,Escherichia coli,99.31,0.8
GCA_002765835,355,GCA_002765835.1,Escherichia coli O26:H11,NA,10323,NA,NA,NA,NA,5577066,Scaffold,2017-10-27T00:00:00Z,NA,100642,111564,Illumina HiSeq 2000,"Microbiology, Graduate School of Medical Sciences, Kyushu University",PRJDB5571,SAMD00075860,NA,NA,NA,Escherichia coli,99.31,0.77
GCA_003015365,5,GCA_003015365.1,Escherichia coli,NA,2012C-4196,NA,NA,NA,NA,5425894,Scaffold,2018-03-26T00:00:00Z,NA,3847435,3847435,PacBio,CDC,PRJNA218110,SAMN03098240,NA,NA,NA,Escherichia coli,98.19,0.26
GCA_002951695,5,GCA_002951695.1,Escherichia coli,NA,Combat13F7,NA,NA,NA,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),5085448,Complete Genome,2018-02-05T00:00:00Z,NA,4729175,4729175,PacBio,The University of Hong Kong,PRJNA361032,SAMN06219547,5333,4916,299,Escherichia coli,99.55,0.4
GCA_003357565,105,GCA_003357565.1,Escherichia coli,NA,SC385,NA,NA,NA,Annotation submitted by University of Basel,4844097,Scaffold,2018-08-03T00:00:00Z,NA,173844,173844,Illumina HiSeq,University of Basel,PRJNA432505,SAMN08462997,4471,4398,NA,Escherichia coli,99.39,0.26
GCA_002971695,51,GCA_002971695.1,Escherichia coli,NA,HT2012DB03,NA,NA,NA,NA,4992167,Scaffold,2018-03-06T00:00:00Z,NA,150135,330935,Illumina GAIIx,National institute for communicable disease control and prevention,PRJNA276948,SAMN03382587,NA,NA,NA,Escherichia coli,99.05,0.38
GCA_002923515,262,GCA_002923515.1,Escherichia coli O26:H11,NA,E0440,NA,NA,NA,NA,5532904,Scaffold,2018-01-25T00:00:00Z,NA,97909,117536,Illumina MiSeq,"Microbiology, Graduate School of Medical Sciences, Kyushu University",PRJDB5571,SAMD00075775,NA,NA,NA,Escherichia coli,99.18,0.71
GCA_002765255,375,GCA_002765255.1,Escherichia coli O26:H11,NA,1.10E+60,NA,NA,NA,NA,5600400,Scaffold,2017-10-27T00:00:00Z,NA,85127,100696,Illumina HiSeq 2000,"Microbiology, Graduate School of Medical Sciences, Kyushu University",PRJDB5571,SAMD00075827,NA,NA,NA,Escherichia coli,99.31,0.74
GCA_002923965,306,GCA_002923965.1,Escherichia coli O26:H11,NA,PV0198,NA,NA,NA,NA,5699477,Scaffold,2018-01-25T00:00:00Z,NA,101029,112859,Illumina HiSeq 2000,"Microbiology, Graduate School of Medical Sciences, Kyushu University",PRJDB5571,SAMD00075933,NA,NA,NA,Escherichia coli,99.29,0.8
GCA_002765915,359,GCA_002765915.1,Escherichia coli O26:H11,NA,10338,NA,NA,NA,NA,5682920,Scaffold,2017-10-27T00:00:00Z,NA,104105,109636,Illumina HiSeq 2000,"Microbiology, Graduate School of Medical Sciences, Kyushu University",PRJDB5571,SAMD00075864,NA,NA,NA,Escherichia coli,99.07,0.88
GCA_002765155,313,GCA_002765155.1,Escherichia coli O26:H11,NA,9.00E+107,NA,NA,NA,NA,5620390,Scaffold,2017-10-27T00:00:00Z,NA,104137,113790,Illumina HiSeq 2000,"Microbiology, Graduate School of Medical Sciences, Kyushu University",PRJDB5571,SAMD00075822,NA,NA,NA,Escherichia coli,99.31,0.71
GCA_003358845,86,GCA_003358845.1,Escherichia coli,NA,SC319,NA,NA,NA,Annotation submitted by University of Basel,4733831,Scaffold,2018-08-03T00:00:00Z,NA,196168,203184,Illumina HiSeq,University of Basel,PRJNA432505,SAMN08462936,4451,4380,NA,Escherichia coli,99.56,0.94
GCA_003351485,1,GCA_003351485.1,Escherichia coli,NA,M16807,NA,NA,NA,NA,5133477,Complete Genome,2018-08-01T00:00:00Z,NA,5133477,5133477,PacBio,Centers for Disease Control and Prevention,PRJNA428178,SAMN09704974,NA,NA,NA,Escherichia coli,99.06,0.21
GCA_003060125,100,GCA_003060125.1,Escherichia coli,NA,MKU-A1X-MCR,NA,NA,NA,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),4961868,Scaffold,2018-04-22T00:00:00Z,NA,109007,130413,Illumina NextSeq500,Erciyes University,PRJNA449635,SAMN08915819,5255,4903,263,Escherichia coli,99.4,0.38
GCA_002766695,297,GCA_002766695.1,Escherichia coli O26:H11,NA,PV253,NA,NA,NA,NA,5533149,Scaffold,2017-10-27T00:00:00Z,NA,98376,115144,Illumina HiSeq 2000,"Microbiology, Graduate School of Medical Sciences, Kyushu University",PRJDB5571,SAMD00075908,NA,NA,NA,Escherichia coli,99.04,0.8
GCA_003303755,142,GCA_003303755.1,Escherichia coli,NA,A97,NA,NA,NA,NA,4984994,Scaffold,2018-07-09T00:00:00Z,NA,154670,154670,Illumina HiSeq,China Agricultural University,PRJNA400107,SAMN07556496,NA,NA,NA,Escherichia coli,99.28,0.38
GCA_002507985,86,GCA_002507985.1,Escherichia coli,NA,ETEC-2267,NA,NA,NA,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),4977694,Scaffold,2017-10-10T00:00:00Z,NA,202610,202610,Illumina MiSeq,Karolinska Institutet,PRJNA398221,SAMN07503736,5320,4930,275,Escherichia coli,99.38,0.24
GCA_003028815,1,GCA_003028815.1,Escherichia coli,NA,APEC 01,NA,NA,NA,NA,4609982,Chromosome,2018-04-02T00:00:00Z,NA,106447,4609982,Illumina MiSeq,Rehman Medical Institute,PRJNA389368,SAMN07196152,NA,NA,NA,Escherichia coli,98.43,0.47
GCA_002767595,286,GCA_002767595.1,Escherichia coli O26:H11,NA,PV01203,NA,NA,NA,NA,5482497,Scaffold,2017-10-27T00:00:00Z,NA,105303,122079,Illumina HiSeq 2000,"Microbiology, Graduate School of Medical Sciences, Kyushu University",PRJDB5571,SAMD00075937,NA,NA,NA,Escherichia coli,99.31,0.76
GCA_002768915,346,GCA_002768915.1,Escherichia coli O26:H11,NA,EH2075,NA,NA,NA,NA,5536661,Scaffold,2017-10-27T00:00:00Z,NA,114529,118062,Illumina MiSeq,"Microbiology, Graduate School of Medical Sciences, Kyushu University",PRJDB5571,SAMD00075975,NA,NA,NA,Escherichia coli,98.99,0.71
GCA_003292545,196,GCA_003292545.1,Escherichia coli,NA,A260,NA,NA,NA,NA,4761362,Scaffold,2018-07-09T00:00:00Z,NA,102491,104420,Illumina HiSeq,China Agricultural University,PRJNA400107,SAMN07556671,NA,NA,NA,Escherichia coli,98.9,0.16
GCA_002843685,1,GCA_002843685.1,Escherichia coli str. K-12 substr. MG1655,NA,K-12 substr. MG1655,NA,NA,NA,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),4643559,Complete Genome,2017-12-17T00:00:00Z,NA,4643559,4643559,Illumina HiSeq,Harvard Medical School,PRJNA421841,SAMN08158212,4810,4444,243,Escherichia coli,98.14,0.15
GCA_003357705,114,GCA_003357705.1,Escherichia coli,NA,SC378,NA,NA,NA,Annotation submitted by University of Basel,4969840,Scaffold,2018-08-03T00:00:00Z,NA,134068,134068,Illumina HiSeq,University of Basel,PRJNA432505,SAMN08462990,4640,4572,NA,Escherichia coli,99.54,0.15
